,somersloop,power,raw_power,points_gain_rate,Desc_AlienPowerFuel_C,Desc_Biofuel_C,Desc_GenericBiomass_C,Desc_Leaves_C,Desc_Mycelia_C,Desc_PackagedBiofuel_C,Desc_Wood_C,Desc_Coal_C,Desc_Water_C,Desc_CompactedCoal_C,Desc_PetroleumCoke_C,Desc_IonizedFuel_C,Desc_LiquidBiofuel_C,Desc_LiquidFuel_C,Desc_LiquidTurboFuel_C,Desc_RocketFuel_C,Desc_FicsoniumFuelRod_C,Desc_NuclearFuelRod_C,Desc_NuclearWaste_C,Desc_PlutoniumFuelRod_C,Desc_PlutoniumWaste_C,Desc_CopperSheet_C,Desc_HighSpeedWire_C,Desc_CircuitBoardHighSpeed_C,Desc_AlienProtein_C,Desc_AlienDNACapsule_C,Desc_CrystalShard_C,Desc_QuantumEnergy_C,Desc_QuantumOscillator_C,Desc_SAMFluctuator_C,Desc_DarkEnergy_C,Desc_Plastic_C,Desc_IronPlate_C,Desc_Rubber_C,Desc_IronPlateReinforced_C,Desc_AluminumIngot_C,Desc_CopperIngot_C,Desc_AluminumCasing_C,Desc_IronRod_C,Desc_SteelPipe_C,BP_ItemDescriptorPortableMiner_C,Desc_IronScrew_C,Desc_ModularFrame_C,Desc_Wire_C,Desc_Cable_C,Desc_OreGold_C,Desc_SulfuricAcid_C,Desc_GoldIngot_C,Desc_Silica_C,Desc_CircuitBoard_C,Desc_AluminumPlate_C,Desc_Sulfur_C,Desc_Battery_C,Desc_HeavyOilResidue_C,Desc_FluidCanister_C,Desc_IronIngot_C,Desc_OreIron_C,Desc_SteelIngot_C,Desc_Computer_C,Desc_CrystalOscillator_C,Desc_Stone_C,Desc_Cement_C,Desc_AluminumPlateReinforced_C,Desc_Motor_C,Desc_NitrogenGas_C,Desc_CoolingSystem_C,Desc_OreCopper_C,Desc_Rotor_C,Desc_QuartzCrystal_C,Desc_DarkMatter_C,Desc_TimeCrystal_C,Desc_Diamond_C,Desc_LiquidOil_C,Desc_TurboFuel_C,Desc_PackagedWater_C,Desc_Fuel_C,Desc_ElectromagneticControlRod_C,Desc_AluminaSolution_C,Desc_AluminumScrap_C,Desc_HighSpeedConnector_C,Desc_Stator_C,Desc_SteelPlateReinforced_C,Desc_NitricAcid_C,Desc_OreUranium_C,Desc_NonFissibleUranium_C,Desc_SteelPlate_C,Desc_SpaceElevatorPart_2_C,Desc_Gunpowder_C,Desc_ModularFrameHeavy_C,Desc_ModularFrameFused_C,Desc_PolymerResin_C,Desc_SpaceElevatorPart_3_C,Desc_PlutoniumCell_C,Desc_OreBauxite_C,Desc_PackagedRocketFuel_C,Desc_UraniumCell_C,Desc_ModularFrameLightweight_C,Desc_ComputerSuper_C,Desc_SpaceElevatorPart_1_C,Desc_PressureConversionCube_C,Desc_Fabric_C,Desc_RawQuartz_C,Desc_DissolvedSilica_C,Desc_MotorLightweight_C,Desc_PackagedNitrogenGas_C,Desc_SAMIngot_C,Desc_Gift_C,Desc_CandyCane_C,Desc_CartridgeStandard_C,Desc_CartridgeChaos_C,Desc_CartridgeSmartProjectile_C,Desc_GunpowderMK2_C,Desc_CopperDust_C,Desc_FicsiteIngot_C,Desc_FicsiteMesh_C,Desc_Ficsonium_C,Desc_SingularityCell_C,Desc_Filter_C,Desc_HazmatFilter_C,Desc_XmasBranch_C,Desc_Fireworks_Projectile_01_C,Desc_XmasBow_C,Desc_Fireworks_Projectile_02_C,Desc_Snow_C,Desc_Fireworks_Projectile_03_C,Desc_GasTank_C,Desc_SAM_C,Desc_NobeliskExplosive_C,Desc_NobeliskCluster_C,Desc_NobeliskGas_C,Desc_NobeliskNuke_C,Desc_NobeliskShockwave_C,Desc_PackagedAlumina_C,Desc_PackagedOil_C,Desc_PackagedIonizedFuel_C,Desc_PackagedNitricAcid_C,Desc_PackagedOilResidue_C,Desc_PackagedSulfuricAcid_C,Desc_PlutoniumPellet_C,Desc_Crystal_C,Desc_Crystal_mk2_C,Desc_Crystal_mk3_C,Desc_HatcherParts_C,Desc_HogParts_C,Desc_SpitterParts_C,Desc_StingerParts_C,Desc_SpikedRebar_C,Desc_Rebar_Explosive_C,Desc_Rebar_Spreadshot_C,Desc_Rebar_Stunshot_C,Desc_SpaceElevatorPart_9_C,Desc_SnowballProjectile_C,Desc_SpaceElevatorPart_7_C,Desc_SpaceElevatorPart_10_C,Desc_SpaceElevatorPart_8_C,Desc_SpaceElevatorPart_11_C,Desc_SpaceElevatorPart_6_C,Desc_TemporalProcessor_C,Desc_SpaceElevatorPart_12_C,Desc_SpaceElevatorPart_4_C,Desc_SpaceElevatorPart_5_C,Desc_XmasBall1_C,Desc_XmasBall2_C,Desc_XmasBall3_C,Desc_XmasBall4_C,Desc_XmasBallCluster_C,Desc_XmasWreath_C,Desc_XmasStar_C
Build_AlienPowerBuilding_C-Desc_AlienPowerFuel_C/S0_OC100,0.0,1100.0,1100.0,-17.5,-0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Build_AlienPowerBuilding_C-Unfueled/S0_OC100,0.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Build_GeneratorBiomass_Automated_C-Desc_Biofuel_C/S0_OC250,0.0,165.0,165.0,-8.0,0.0,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Build_GeneratorBiomass_Automated_C-Desc_GenericBiomass_C/S0_OC250,0.0,165.0,165.0,-5.0,0.0,0.0,-0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Build_GeneratorBiomass_Automated_C-Desc_Leaves_C/S0_OC250,0.0,165.0,165.0,-15.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Build_GeneratorBiomass_Automated_C-Desc_Mycelia_C/S0_OC250,0.0,165.0,165.0,-37.5,0.0,0.0,0.0,0.0,-3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Build_GeneratorBiomass_Automated_C-Desc_PackagedBiofuel_C/S0_OC250,0.0,165.0,165.0,-37.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Build_GeneratorBiomass_Automated_C-Desc_Wood_C/S0_OC250,0.0,165.0,165.0,-22.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Build_GeneratorCoal_C-Desc_Coal_C/S0_OC250,0.0,412.50000000000006,412.50000000000006,-1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.625,-1875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Build_GeneratorCoal_C-Desc_CompactedCoal_C/S0_OC250,0.0,412.50000000000006,412.50000000000006,-8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1875.0,-0.2976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
