>> Recipe detail
================================================================================
Recipe	Machine/count	Somersloop	Power	Power production	Ingredients	Products
================================================================================
核电站 (铀燃料棒)	核电站 x 15253.616	0	381340.4MW	381340.4MW	水 [-36608.679/min]; 铀燃料棒 [-30.507/min]	铀废料 [1525.362/min]
AI限制器	装配站 x 29364.908	0	-1000.1MW	0MW	铜板 [-7341.227/min]; 急速电线 [-29364.908/min]	AI限制器 [1468.245/min]
替代：复合铝外壳	装配站 x 4179.947	0	-142.4MW	0MW	铝锭 [-6269.921/min]; 铜锭 [-3134.96/min]	铝制外壳 [4702.44/min]
替代：滤化钦金锭	精炼站 x 11770.475	0	-801.8MW	0MW	钦金矿石 [-6356.057/min]; 硫酸 [-3531.143/min]	钦金锭 [4237.371/min]
替代：硅基电路板	装配站 x 57658.316	0	-1963.8MW	0MW	铜板 [-15856.037/min]; 二氧化硅 [-15856.037/min]	电路板 [7207.289/min]
替代：传统电池	制造站 x 9360.054	0	-1168.9MW	0MW	塑料 [-5616.032/min]; 电线 [-8424.048/min]; 复合铝板 [-4914.028/min]; 硫磺 [-4212.024/min]	电池 [2808.016/min]
替代：镀层铁桶	装配站 x 5797.453	0	-197.5MW	0MW	铜板 [-869.618/min]; 铁板 [-1739.236/min]	空桶 [3478.472/min]
替代：镀层铁板	装配站 x 17819.215	0	-606.9MW	0MW	塑料 [-1336.441/min]; 铁锭 [-6682.206/min]	铁板 [13364.411/min]
替代：钦金计算机	制造站 x 28543.502	0	-3564.6MW	0MW	急速电线 [-14985.339/min]; 橡胶 [-6422.288/min]; 电路板 [-4281.525/min]	计算机 [1070.381/min]
替代：晶体计算机	装配站 x 21634.391	0	-736.8MW	0MW	电路板 [-1081.72/min]; 晶体振荡器 [-360.573/min]	计算机 [721.146/min]
替代：冷却装置	混料站 x 3631.852	0	-618.5MW	0MW	散热器 [-363.185/min]; 马达 [-90.796/min]; 氮气 [-2179.111/min]	冷却系统 [181.593/min]
替代：铜制转子	装配站 x 7761.419	0	-264.3MW	0MW	铜板 [-1746.319/min]; 螺丝 [-15134.766/min]	转子 [873.16/min]
替代：绝缘晶体振荡器	制造站 x 41051.814	0	-5126.7MW	0MW	AI限制器 [-769.722/min]; 橡胶 [-5388.051/min]; 石英晶体 [-7697.215/min]	晶体振荡器 [769.722/min]
替代：暗物质捕获器	粒子加速站 x 7218.829	0	-16391.1MW	0MW	暗物质残渣 [-10828.243/min]; 时间水晶 [-2165.649/min]	暗物质晶体 [4331.297/min]
替代：油基钻石	粒子加速站 x 193.904	0	-220.1MW	0MW	原油 [-387.807/min]	钻石 [77.561/min]
替代：涡轮钻石	粒子加速站 x 8696.179	0	-9872.8MW	0MW	煤 [-52177.073/min]; 桶装涡轮燃油 [-3478.472/min]	钻石 [5217.707/min]
替代：稀释燃油	混料站 x 21388.32	0	-3642.3MW	0MW	水 [-21388.32/min]; 重油残渣 [-10694.16/min]	燃料 [21388.32/min]
替代：电磁马达	装配站 x 2626.777	0	-89.5MW	0MW	转子 [-197.008/min]; 电磁控制杆 [-98.504/min]	马达 [197.008/min]
替代：电解制铝	精炼站 x 13450.186	0	-916.2MW	0MW	石油焦 [-8070.112/min]; 氧化铝溶液 [-24210.335/min]	水 [14122.696/min]; 碎铝渣 [40350.559/min]
替代：钢管混凝土梁	装配站 x 38938.32	0	-1326.2MW	0MW	钢管 [-9345.197/min]; 混凝土 [-7787.664/min]	钢筋混凝土梁 [1557.533/min]
替代：压缩煤	装配站 x 5119.956	0	-174.4MW	0MW	煤 [-1279.989/min]; 硫磺 [-1279.989/min]	压缩煤 [1279.989/min]
替代：灵活型框架	制造站 x 3213.239	0	-401.3MW	0MW	橡胶 [-963.972/min]; 模块化框架 [-120.496/min]; 钢梁 [-722.979/min]	多功能框架 [240.993/min]
替代：熔合电线	装配站 x 19540.978	0	-665.5MW	0MW	铜锭 [-2344.917/min]; 钦金锭 [-586.229/min]	电线 [17586.88/min]
替代：热熔框架	混料站 x 3281.698	0	-558.9MW	0MW	燃料 [-984.509/min]; 铝锭 [-4922.547/min]; 硝酸 [-787.607/min]; 重型模块化框架 [-98.451/min]	焊接模块化框架 [98.451/min]
替代：热交换器	装配站 x 4394.533	0	-149.7MW	0MW	橡胶 [-1318.36/min]; 铝制外壳 [-1318.36/min]	散热器 [439.453/min]
替代：重油残渣	精炼站 x 40707.309	0	-2772.9MW	0MW	原油 [-12212.193/min]	重油残渣 [16282.924/min]; 聚合树脂 [8141.462/min]
替代：致密钢锭	铸造站 x 51199.558	0	-1860.1MW	0MW	压缩煤 [-1279.989/min]; 铁矿石 [-2559.978/min]	钢锭 [5119.956/min]
替代：重型封闭式框架	制造站 x 16613.683	0	-2074.8MW	0MW	钢管 [-5607.118/min]; 模块化框架 [-1246.026/min]; 混凝土 [-3426.572/min]; 钢筋混凝土梁 [-1557.533/min]	重型模块化框架 [467.26/min]
替代：牢固马达	制造站 x 4434.374	0	-553.8MW	0MW	晶体振荡器 [-55.43/min]; 转子 [-166.289/min]; 定子 [-166.289/min]	马达 [332.578/min]
替代：铀燃料单元	制造站 x 5084.539	0	-635MW	0MW	晶体振荡器 [-30.507/min]; 转子 [-101.691/min]; 电磁控制杆 [-101.691/min]; 封装铀棒 [-1016.908/min]	铀燃料棒 [30.507/min]
替代：再生塑料	精炼站 x 29107.549	0	-1982.8MW	0MW	燃料 [-8732.265/min]; 橡胶 [-8732.265/min]	塑料 [17464.529/min]
