>> Recipe detail
================================================================================
Recipe	Machine/count	Somersloop	Power	Power production	Ingredients	Products
================================================================================
核电站 (铀燃料棒)	核电站 x 13351.575	0	333789.4MW	333789.4MW	水 [-32043.78/min]; 铀燃料棒 [-26.703/min]	铀废料 [1335.157/min]
AI限制器	装配站 x 25595.066	0	-871.7MW	0MW	铜板 [-6398.767/min]; 急速电线 [-25595.066/min]	AI限制器 [1279.753/min]
替代：复合铝外壳	装配站 x 3607.413	0	-122.9MW	0MW	铝锭 [-5411.12/min]; 铜锭 [-2705.56/min]	铝制外壳 [4058.34/min]
替代：滤化钦金锭	精炼站 x 11170.574	0	-760.9MW	0MW	钦金矿石 [-6032.11/min]; 硫酸 [-3351.172/min]	钦金锭 [4021.407/min]
替代：硅基电路板	装配站 x 62590.188	0	-2131.8MW	0MW	铜板 [-17212.302/min]; 二氧化硅 [-17212.302/min]	电路板 [7823.773/min]
替代：传统电池	制造站 x 9823.524	0	-1226.8MW	0MW	塑料 [-5894.114/min]; 电线 [-8841.171/min]; 复合铝板 [-5157.35/min]; 硫磺 [-4420.586/min]	电池 [2947.057/min]
替代：镀层铁桶	装配站 x 5756.038	0	-196MW	0MW	铜板 [-863.406/min]; 铁板 [-1726.811/min]	空桶 [3453.623/min]
替代：镀层铁板	装配站 x 17913.063	0	-610.1MW	0MW	塑料 [-1343.48/min]; 铁锭 [-6717.399/min]	铁板 [13434.797/min]
替代：钦金计算机	制造站 x 33484.97	0	-4181.7MW	0MW	急速电线 [-17579.609/min]; 橡胶 [-7534.118/min]; 电路板 [-5022.746/min]	计算机 [1255.686/min]
替代：晶体计算机	装配站 x 17340.845	0	-590.6MW	0MW	电路板 [-867.042/min]; 晶体振荡器 [-289.014/min]	计算机 [578.028/min]
替代：冷却装置	混料站 x 3473.388	0	-591.5MW	0MW	散热器 [-347.339/min]; 马达 [-86.835/min]; 氮气 [-2084.033/min]	冷却系统 [173.669/min]
替代：铜制转子	装配站 x 6220.183	0	-211.9MW	0MW	铜板 [-1399.541/min]; 螺丝 [-12129.356/min]	转子 [699.771/min]
替代：绝缘晶体振荡器	制造站 x 37572.744	0	-4692.2MW	0MW	AI限制器 [-704.489/min]; 橡胶 [-4931.423/min]; 石英晶体 [-7044.889/min]	晶体振荡器 [704.489/min]
替代：暗物质捕获器	粒子加速站 x 6995.017	0	-15882.9MW	0MW	暗物质残渣 [-10492.526/min]; 时间水晶 [-2098.505/min]	暗物质晶体 [4197.01/min]
替代：油基钻石	粒子加速站 x 74.118	0	-84.1MW	0MW	原油 [-148.236/min]	钻石 [29.647/min]
替代：涡轮钻石	粒子加速站 x 8634.057	0	-9802.3MW	0MW	煤 [-51804.344/min]; 桶装涡轮燃油 [-3453.623/min]	钻石 [5180.434/min]
替代：稀释燃油	混料站 x 22137.221	0	-3769.9MW	0MW	水 [-22137.221/min]; 重油残渣 [-11068.61/min]	燃料 [22137.221/min]
替代：电解制铝	精炼站 x 13278.61	0	-904.5MW	0MW	石油焦 [-7967.166/min]; 氧化铝溶液 [-23901.498/min]	水 [13942.541/min]; 碎铝渣 [39835.831/min]
替代：钢管混凝土梁	装配站 x 40626.737	0	-1383.7MW	0MW	钢管 [-9750.417/min]; 混凝土 [-8125.347/min]	钢筋混凝土梁 [1625.069/min]
替代：压缩煤	装配站 x 5283.534	0	-180MW	0MW	煤 [-1320.884/min]; 硫磺 [-1320.884/min]	压缩煤 [1320.884/min]
替代：灵活型框架	制造站 x 3376.905	0	-421.7MW	0MW	橡胶 [-1013.071/min]; 模块化框架 [-126.634/min]; 钢梁 [-759.804/min]	多功能框架 [253.268/min]
替代：熔合电线	装配站 x 31514.373	0	-1073.4MW	0MW	铜锭 [-3781.725/min]; 钦金锭 [-945.431/min]	电线 [28362.935/min]
替代：热熔框架	混料站 x 3357.457	0	-571.8MW	0MW	燃料 [-1007.237/min]; 铝锭 [-5036.185/min]; 硝酸 [-805.79/min]; 重型模块化框架 [-100.724/min]	焊接模块化框架 [100.724/min]
替代：热交换器	装配站 x 4140.967	0	-141MW	0MW	橡胶 [-1242.29/min]; 铝制外壳 [-1242.29/min]	散热器 [414.097/min]
替代：重油残渣	精炼站 x 41505.879	0	-2827.3MW	0MW	原油 [-12451.764/min]	重油残渣 [16602.351/min]; 聚合树脂 [8301.176/min]
替代：致密钢锭	铸造站 x 52835.34	0	-1919.5MW	0MW	压缩煤 [-1320.884/min]; 铁矿石 [-2641.767/min]	钢锭 [5283.534/min]
替代：重型封闭式框架	制造站 x 17334.074	0	-2164.7MW	0MW	钢管 [-5850.25/min]; 模块化框架 [-1300.056/min]; 混凝土 [-3575.153/min]; 钢筋混凝土梁 [-1625.069/min]	重型模块化框架 [487.521/min]
替代：牢固马达	制造站 x 6694.674	0	-836.1MW	0MW	晶体振荡器 [-83.683/min]; 转子 [-251.05/min]; 定子 [-251.05/min]	马达 [502.101/min]
替代：铀燃料单元	制造站 x 4450.525	0	-555.8MW	0MW	晶体振荡器 [-26.703/min]; 转子 [-89.01/min]; 电磁控制杆 [-89.01/min]; 封装铀棒 [-890.105/min]	铀燃料棒 [26.703/min]
替代：再生塑料	精炼站 x 30240.411	0	-2059.9MW	0MW	燃料 [-9072.123/min]; 橡胶 [-9072.123/min]	塑料 [18144.247/min]
替代：高纯度钦金锭	精炼站 x 4349.286	0	-296.3MW	0MW	水 [-1043.829/min]; 钦金矿石 [-1043.829/min]	钦金锭 [521.914/min]
替代：高纯度铜锭	精炼站 x 233213.34	0	-15886.1MW	0MW	水 [-23321.334/min]; 铜矿石 [-34982.001/min]	铜锭 [87455.003/min]
替代：高纯度铁锭	精炼站 x 255594.951	0	-17410.7MW	0MW	水 [-51118.99/min]; 铁矿石 [-89458.233/min]	铁锭 [166136.718/min]
替代：石英净化	精炼站 x 9393.186	0	-639.8MW	0MW	硝酸 [-939.319/min]; 粗石英 [-11271.823/min]	石英晶体 [7044.889/min]; 二氧化硅溶解液 [5635.912/min]
替代：熔合急速电线	装配站 x 47971.862	0	-1633.9MW	0MW	铜锭 [-17989.448/min]; 钦金锭 [-3597.89/min]	急速电线 [43174.676/min]
替代：再生橡胶	精炼站 x 36355.509	0	-2476.5MW	0MW	燃料 [-10906.653/min]; 塑料 [-10906.653/min]	橡胶 [21813.305/min]
替代：拼接铁板	装配站 x 43190.813	0	-1471MW	0MW	铁板 [-8098.277/min]; 电线 [-16196.555/min]	强化铁板 [2429.483/min]
替代：粗制二氧化硅	装配站 x 9903.008	0	-337.3MW	0MW	石灰石 [-3713.628/min]; 粗石英 [-2228.177/min]	二氧化硅 [5199.079/min]
替代：提纯二氧化硅	混料站 x 4696.593	0	-799.8MW	0MW	石灰石 [-2348.296/min]; 二氧化硅溶解液 [-5635.912/min]	水 [3757.274/min]; 二氧化硅 [12680.801/min]
替代：氧化铝匀浆	精炼站 x 9958.958	0	-678.4MW	0MW	水 [-19917.915/min]; 铝土矿 [-19917.915/min]	氧化铝溶液 [23901.498/min]
替代：热压铜板	精炼站 x 114995.622	0	-7833.3MW	0MW	水 [-25874.015/min]; 铜锭 [-25874.015/min]	铜板 [25874.015/min]
替代：浇铸梁	铸造站 x 1955.484	0	-71MW	0MW	钢锭 [-2346.581/min]; 混凝土 [-1564.387/min]	钢梁 [879.968/min]
替代：铁制管道	构筑站 x 100155.866	0	-909.7MW	0MW	铁锭 [-100155.866/min]	钢管 [25038.966/min]
