>> Recipe detail
================================================================================
Recipe	Machine/count	Somersloop	Power	Ingredients	Products
================================================================================
燃油发电机 (火箭燃料)	燃油发电机 x 1021.983	0	638739.3MW	火箭燃料 [-10645.655/min]	
核电站 (铀燃料棒)	核电站 x 63	0	393750MW	水 [-37800/min]; 铀燃料棒 [-31.5/min]	铀废料 [1575/min]
AI限制器	装配站 x 259.97	0	-3899.6MW	铜板 [-6499.262/min]; 急速电线 [-25997.048/min]	AI限制器 [1299.852/min]
替代：复合铝外壳	装配站 x 29.7	0	-445.5MW	铝锭 [-4455.072/min]; 铜锭 [-2227.536/min]	铝制外壳 [3341.304/min]
替代：硅基电路板	装配站 x 601.31	0	-9019.7MW	铜板 [-16536.031/min]; 二氧化硅 [-16536.031/min]	电路板 [7516.378/min]
替代：传统电池	制造站 x 86.065	0	-4733.6MW	塑料 [-5163.929/min]; 电线 [-7745.894/min]; 复合铝板 [-4518.438/min]; 硫磺 [-3872.947/min]	电池 [2581.965/min]
替代：镀层铁桶	装配站 x 54.103	0	-811.5MW	铜板 [-811.541/min]; 铁板 [-1623.082/min]	空桶 [3246.164/min]
替代：镀层铁板	装配站 x 110.693	0	-1660.4MW	塑料 [-830.201/min]; 铁锭 [-4151.006/min]	铁板 [8302.012/min]
替代：钦金计算机	制造站 x 365.331	0	-20093.2MW	急速电线 [-19179.884/min]; 橡胶 [-8219.95/min]; 电路板 [-5479.967/min]	计算机 [1369.992/min]
替代：晶体计算机	装配站 x 80.249	0	-1203.7MW	电路板 [-401.244/min]; 晶体振荡器 [-133.748/min]	计算机 [267.496/min]
替代：冷却装置	混料站 x 32.462	0	-2434.6MW	散热器 [-324.616/min]; 马达 [-81.154/min]; 氮气 [-1947.699/min]	冷却系统 [162.308/min]
替代：铜制转子	装配站 x 86.183	0	-1292.7MW	铜板 [-1939.11/min]; 螺丝 [-16805.62/min]	转子 [969.555/min]
替代：绝缘晶体振荡器	制造站 x 252.026	0	-13861.4MW	AI限制器 [-472.549/min]; 橡胶 [-3307.843/min]; 石英晶体 [-4725.49/min]	晶体振荡器 [472.549/min]
替代：暗物质捕获器	粒子加速站 x 65.374	0	-65374.1MW	暗物质残渣 [-9806.121/min]; 时间水晶 [-1961.224/min]	暗物质晶体 [3922.449/min]
替代：涡轮钻石	粒子加速站 x 81.154	0	-40577.1MW	煤 [-48692.464/min]; 桶装涡轮燃油 [-3246.164/min]	钻石 [4869.246/min]
