>> Recipe detail
================================================================================
Recipe	Machine/count	Somersloop	Power	Ingredients	Products
================================================================================
燃油发电机 (火箭燃料)	燃油发电机 x 1181.278	0	738298.8MW	火箭燃料 [-12304.98/min]	
核电站 (铀燃料棒)	核电站 x 100.8	0	630000MW	水 [-60480/min]; 铀燃料棒 [-50.4/min]	铀废料 [2520/min]
AI限制器	装配站 x 113.233	0	-5703.1MW	铜板 [-7077.067/min]; 急速电线 [-28308.27/min]	AI限制器 [1415.413/min]
替代：复合铝外壳	装配站 x 12.839	0	-646.6MW	铝锭 [-4814.537/min]; 铜锭 [-2407.268/min]	铝制外壳 [3610.903/min]
替代：硅基电路板	装配站 x 189.477	0	-9543.2MW	铜板 [-13026.516/min]; 二氧化硅 [-13026.516/min]	电路板 [5921.144/min]
替代：传统电池	制造站 x 28.316	0	-5229.3MW	塑料 [-4247.413/min]; 电线 [-6371.12/min]; 复合铝板 [-3716.487/min]; 硫磺 [-3185.56/min]	电池 [2123.707/min]
替代：镀层铁桶	装配站 x 21.551	0	-1085.5MW	铜板 [-808.174/min]; 铁板 [-1616.347/min]	空桶 [3232.694/min]
替代：钦金计算机	制造站 x 110.08	0	-20329.2MW	急速电线 [-14448.012/min]; 橡胶 [-6192.005/min]; 电路板 [-4128.003/min]	计算机 [1032.001/min]
替代：晶体计算机	装配站 x 41.104	0	-2070.2MW	电路板 [-513.796/min]; 晶体振荡器 [-171.265/min]	计算机 [342.53/min]
替代：冷却装置	混料站 x 13.541	0	-3410MW	散热器 [-338.522/min]; 马达 [-84.631/min]; 氮气 [-2031.133/min]	冷却系统 [169.261/min]
替代：铜制转子	装配站 x 38.405	0	-1934.3MW	铜板 [-2160.258/min]; 螺丝 [-18722.237/min]	转子 [1080.129/min]
替代：绝缘晶体振荡器	制造站 x 113.447	0	-20951MW	AI限制器 [-531.783/min]; 橡胶 [-3722.48/min]; 石英晶体 [-5317.828/min]	晶体振荡器 [531.783/min]
替代：暗物质捕获器	粒子加速站 x 26.698	0	-89644.8MW	暗物质残渣 [-10011.698/min]; 时间水晶 [-2002.34/min]	暗物质晶体 [4004.679/min]
替代：涡轮钻石	粒子加速站 x 32.327	0	-54272.9MW	煤 [-48490.412/min]; 桶装涡轮燃油 [-3232.694/min]	钻石 [4849.041/min]
替代：稀释燃油	混料站 x 92.766	0	-23361.3MW	水 [-23191.403/min]; 重油残渣 [-11595.701/min]	燃料 [23191.403/min]
替代：电磁马达	装配站 x 26.58	0	-1338.7MW	转子 [-498.38/min]; 电磁控制杆 [-249.19/min]	马达 [498.38/min]
替代：电解制铝	精炼站 x 49.928	0	-5029.4MW	石油焦 [-7489.183/min]; 氧化铝溶液 [-22467.549/min]	水 [13106.07/min]; 碎铝渣 [37445.914/min]
替代：钢管混凝土梁	装配站 x 113.5	0	-5716.6MW	钢管 [-6809.989/min]; 混凝土 [-5674.991/min]	钢筋混凝土梁 [1134.998/min]
替代：灵活型框架	制造站 x 11.258	0	-2079.1MW	橡胶 [-844.362/min]; 模块化框架 [-105.545/min]; 钢梁 [-633.272/min]	多功能框架 [211.091/min]
替代：热熔框架	混料站 x 11.284	0	-2841.7MW	燃料 [-846.305/min]; 铝锭 [-4231.527/min]; 硝酸 [-677.044/min]; 重型模块化框架 [-84.631/min]	焊接模块化框架 [84.631/min]
替代：重油残渣	精炼站 x 168	0	-16923.1MW	原油 [-12600/min]	重油残渣 [16800/min]; 聚合树脂 [8400/min]
替代：致密钢锭	铸造站 x 73.226	0	-3934MW	压缩煤 [-457.661/min]; 铁矿石 [-915.322/min]	钢锭 [1830.643/min]
替代：基础铁锭	铸造站 x 54.384	0	-2921.7MW	铁矿石 [-3398.974/min]; 石灰石 [-5438.359/min]	铁锭 [6797.948/min]
替代：重型封闭式框架	制造站 x 48.427	0	-8943.2MW	钢管 [-4085.993/min]; 模块化框架 [-907.999/min]; 混凝土 [-2496.996/min]; 钢筋混凝土梁 [-1134.998/min]	重型模块化框架 [340.499/min]
替代：钢制框架	装配站 x 135.139	0	-6806.5MW	强化铁板 [-675.696/min]; 钢管 [-3378.479/min]	模块化框架 [1013.544/min]
