>> Recipe detail
================================================================================
Recipe	Machine/count	Somersloop	Power	Ingredients	Products
================================================================================
燃油发电机 (电离燃油)	燃油发电机 x 782.632	0	489145MW	电离燃油 [-5869.74/min]	
燃油发电机 (火箭燃料)	燃油发电机 x 3747.462	0	2342163.7MW	火箭燃料 [-39036.061/min]	
核电站 (镄燃料棒)	核电站 x 64.995	0	406216.7MW	水 [-38996.801/min]; 镄燃料棒 [-162.487/min]	
核电站 (铀燃料棒)	核电站 x 259.979	0	1624866.7MW	水 [-155987.203/min]; 铀燃料棒 [-129.989/min]	铀废料 [6499.467/min]
核电站 (钚燃料棒)	核电站 x 129.989	0	812433.3MW	水 [-77993.601/min]; 钚燃料棒 [-32.497/min]	钚废料 [324.973/min]
AI限制器	装配站 x 63.39	0	-3192.7MW	铜板 [-3961.847/min]; 急速电线 [-15847.387/min]	AI限制器 [792.369/min]
替代：塑料AI限制器	装配站 x 16.169	0	-814.4MW	急速电线 [-4850.587/min]; 塑料 [-1131.804/min]	AI限制器 [323.372/min]
替代：复合铝外壳	装配站 x 12.941	0	-651.8MW	铝锭 [-4852.935/min]; 铜锭 [-2426.468/min]	铝制外壳 [3639.701/min]
替代：硅基电路板	装配站 x 8.319	0	-419MW	铜板 [-571.953/min]; 二氧化硅 [-571.953/min]	电路板 [259.979/min]
替代：钦金计算机	制造站 x 6.933	0	-1280.3MW	急速电线 [-909.925/min]; 橡胶 [-389.968/min]; 电路板 [-259.979/min]	计算机 [64.995/min]
替代：绝缘晶体振荡器	制造站 x 34.664	0	-6401.6MW	AI限制器 [-162.487/min]; 橡胶 [-1137.407/min]; 石英晶体 [-1624.867/min]	晶体振荡器 [162.487/min]
替代：暗物质捕获器	粒子加速站 x 4.612	18.449	-61946.7MW	暗物质残渣 [-1729.58/min]; 时间水晶 [-345.916/min]	暗物质晶体 [1383.664/min]
替代：雾状钻石	粒子加速站 x 29.081	0	-48823MW	煤 [-17448.451/min]; 石灰石 [-34896.901/min]	钻石 [1454.038/min]
替代：粉钻	转化站 x 18.806	0	-15786.6MW	煤 [-5641.836/min]; 石英晶体 [-2115.688/min]	钻石 [705.229/min]
替代：稀释燃油	混料站 x 129.329	0	-32569MW	水 [-32332.177/min]; 重油残渣 [-16166.088/min]	燃料 [32332.177/min]
替代：电解制铝	精炼站 x 12.678	0	-1277.1MW	石油焦 [-1901.735/min]; 氧化铝溶液 [-5705.204/min]	水 [3328.036/min]; 碎铝渣 [9508.673/min]
替代：钢管混凝土梁	装配站 x 10.832	0	-545.6MW	钢管 [-649.947/min]; 混凝土 [-541.622/min]	钢筋混凝土梁 [108.324/min]
替代：压缩煤	装配站 x 267.527	0	-13474.3MW	煤 [-16720.455/min]; 硫磺 [-16720.455/min]	压缩煤 [16720.455/min]
